start,end,mass (m),v_avg,delta_h,W_ThA->B
tst boces tompkins,2. northeast elementary,18325.1317,6.396396396396397,-8,374876.1825326679
tst boces tompkins,1. dewitt middle school,18325.1317,6.031746031746032,-3,333352.1060065508
tst boces tompkins,3. cayuga heights elementary,18325.1317,7.310049019607843,-69,489618.35154472775
tst boces tompkins,4. belle sherman,18325.1317,9.81599433828733,-70,882847.5320757083
tst boces tompkins,5. caroline elementary,18325.1317,12.562830687830687,9,3064005.2207401833
tst boces tompkins,6. south hill elementary,18325.1317,9.456956956956956,-121,819445.2338717587
tst boces tompkins,7. bjm elementary,18325.1317,7.4275362318840585,-186,505483.1309680872
tst boces tompkins,8. fall creek elementary,18325.1317,6.0496357012750455,-188,335332.4290168385
tst boces tompkins,9. boynton middle school,18325.1317,5.7786357786357785,-190,305962.18467654363
tst boces tompkins,10. maint garage,18325.1317,5.596100759144237,-194,286938.06139199086
tst boces tompkins,11. bus garage,18325.1317,6.152777777777778,-190,346864.27189364395
tst boces tompkins,12. enfield elementary,18325.1317,10.19433465085639,38,7783457.293897703
tst boces tompkins,14. tompkins recycling,18325.1317,7.8954945799458,-192,571183.6776024116
tst boces tompkins,13. lehman alternative,18325.1317,6.136831275720166,-147,345068.62635921687
1. dewitt middle school,2. northeast elementary,18839.4372556,5.826023391812866,-5,319729.25696401304
1. dewitt middle school,3. cayuga heights elementary,18839.4372556,7.093397745571657,-66,473965.3090485629
1. dewitt middle school,4. belle sherman,18839.4372556,9.59643605870021,-67,867476.8189586767
1. dewitt middle school,5. caroline elementary,18839.4372556,12.44411571334648,12,3676478.651208376
1. dewitt middle school,6. south hill elementary,18839.4372556,9.304315476190476,-118,815467.7401741375
1. dewitt middle school,7. bjm elementary,18839.4372556,7.310457516339869,-183,503416.03598999634
1. dewitt middle school,8. fall creek elementary,18839.4372556,5.939476061427281,-185,332302.95475693926
1. dewitt middle school,9. boynton middle school,18839.4372556,5.676883780332056,-187,303569.3612852915
1. dewitt middle school,10. maint garage,18839.4372556,5.515260631001372,-191,286529.94157090137
1. dewitt middle school,11. bus garage,18839.4372556,6.055806938159879,-187,345447.4353669783
1. dewitt middle school,12. enfield elementary,18839.4372556,10.144093797939952,41,8546723.963837784
1. dewitt middle school,14. tompkins recycling,18839.4372556,7.802188552188552,-189,573417.3289483172
1. dewitt middle school,13. lehman alternative,18839.4372556,6.065058479532165,-144,346503.7314146583
1. dewitt middle school,tst boces tompkins,18839.4372556,7.979797979797981,3,1154265.7174660782
2. northeast elementary,1. dewitt middle school,18651.659477800004,6.258865248226951,5,1280188.3019477918
2. northeast elementary,3. cayuga heights elementary,18651.659477800004,4.826388888888888,-61,217236.15497840339
2. northeast elementary,4. belle sherman,18651.659477800004,8.66329036218539,-62,699927.7681248399
2. northeast elementary,5. caroline elementary,18651.659477800004,11.800154320987655,17,4409099.748620879
2. northeast elementary,6. south hill elementary,18651.659477800004,6.099605522682445,-113,346969.24433043104
2. northeast elementary,7. bjm elementary,18651.659477800004,5.8638978784609845,-178,320671.4377377161
2. northeast elementary,8. fall creek elementary,18651.659477800004,4.696296296296296,-180,205683.0298232806
2. northeast elementary,9. boynton middle school,18651.659477800004,4.537918871252205,-182,192044.0857058939
2. northeast elementary,10. maint garage,18651.659477800004,4.577103488712987,-186,195374.97985742844
2. northeast elementary,11. bus garage,18651.659477800004,4.659822866344605,-182,202500.5926920064
2. northeast elementary,12. enfield elementary,18651.659477800004,9.058422301304862,46,9181978.951229922
2. northeast elementary,14. tompkins recycling,18651.659477800004,6.569010416666666,-184,402427.2522993745
2. northeast elementary,13. lehman alternative,18651.659477800004,5.190092165898617,-139,251210.4043629072
2. northeast elementary,tst boces tompkins,18651.659477800004,6.351010101010102,8,1839942.6493612207
3. cayuga heights elementary,2. northeast elementary,18576.9372556,5.3913347309573725,61,11386608.205292184
3. cayuga heights elementary,1. dewitt middle school,18576.9372556,8.710144927536232,66,12732508.55855005
3. cayuga heights elementary,4. belle sherman,18576.9372556,7.697893972403777,-1,368172.34038510144
3. cayuga heights elementary,5. caroline elementary,18576.9372556,13.886044747819492,78,16005724.164504219
3. cayuga heights elementary,6. south hill elementary,18576.9372556,8.925540123456791,-52,739968.3285681937
3. cayuga heights elementary,7. bjm elementary,18576.9372556,9.004830917874395,-117,753173.8685480779
3. cayuga heights elementary,8. fall creek elementary,18576.9372556,5.964360587002097,-119,330424.2416796492
3. cayuga heights elementary,9. boynton middle school,18576.9372556,4.2890442890442895,-121,170869.74851407943
3. cayuga heights elementary,10. maint garage,18576.9372556,5.208333333333334,-125,251965.837342665
3. cayuga heights elementary,11. bus garage,18576.9372556,6.292866941015089,-121,367824.97698761313
3. cayuga heights elementary,12. enfield elementary,18576.9372556,11.724033816425122,107,20776381.318777665
3. cayuga heights elementary,14. tompkins recycling,18576.9372556,9.190058479532164,-123,784477.8190539165
3. cayuga heights elementary,13. lehman alternative,18576.9372556,6.150462962962963,-78,351365.99933438166
3. cayuga heights elementary,tst boces tompkins,18576.9372556,8.80952380952381,69,13295399.836236635
4. belle sherman,2. northeast elementary,18566.1039222,8.8452842377261,62,12018572.924231911
4. belle sherman,1. dewitt middle school,18566.1039222,9.760656883298394,67,13087343.410092238
4. belle sherman,3. cayuga heights elementary,18566.1039222,7.085889570552148,1,648233.9496640841
4. belle sherman,5. caroline elementary,18566.1039222,14.351408825093037,79,16300509.508791063
4. belle sherman,6. south hill elementary,18566.1039222,5.264336917562725,-51,257263.47646552126
4. belle sherman,7. bjm elementary,18566.1039222,10.091074681238617,-116,945291.215255745
4. belle sherman,8. fall creek elementary,18566.1039222,6.778273809523809,-118,426509.78370624693
4. belle sherman,9. boynton middle school,18566.1039222,6.288314176245211,-120,367078.75064053317
4. belle sherman,10. maint garage,18566.1039222,5.372150997150997,-124,267908.9384165312
4. belle sherman,11. bus garage,18566.1039222,6.386831275720164,-120,378670.66996747465
4. belle sherman,12. enfield elementary,18566.1039222,15.361655773420479,108,21861034.730679322
4. belle sherman,14. tompkins recycling,18566.1039222,8.539168665067946,-122,676896.0269045004
4. belle sherman,13. lehman alternative,18566.1039222,8.493000874890638,-77,669596.4138300935
4. belle sherman,tst boces tompkins,18566.1039222,9.853988603988604,70,13650738.040390428
5. caroline elementary,2. northeast elementary,18576.2428111,11.833333333333334,-17,1300595.0001493767
5. caroline elementary,1. dewitt middle school,18576.2428111,12.365513928914508,-12,1420208.8853658517
5. caroline elementary,3. cayuga heights elementary,18576.2428111,13.721664808621332,-78,1748805.4413289295
5. caroline elementary,4. belle sherman,18576.2428111,14.074500768049154,-79,1839898.5689430863
5. caroline elementary,6. south hill elementary,18576.2428111,12.782018659881254,-130,1517493.2847270635
5. caroline elementary,7. bjm elementary,18576.2428111,14.885138302859824,-195,2057944.3747434714
5. caroline elementary,8. fall creek elementary,18576.2428111,12.793263646922187,-197,1520164.4900963258
5. caroline elementary,9. boynton middle school,18576.2428111,13.039426523297491,-199,1579228.112174768
5. caroline elementary,10. maint garage,18576.2428111,11.29685408299866,-203,1185339.9499029925
5. caroline elementary,11. bus garage,18576.2428111,14.060065600656007,-199,1836126.4104349813
5. caroline elementary,12. enfield elementary,18576.2428111,15.882428940568476,29,7627698.329664791
5. caroline elementary,14. tompkins recycling,18576.2428111,11.52856691919192,-201,1234464.2949444004
5. caroline elementary,13. lehman alternative,18576.2428111,13.171067106710671,-156,1611275.5181510285
5. caroline elementary,tst boces tompkins,18576.2428111,12.429748062015506,-9,1435002.0963815209
6. south hill elementary,2. northeast elementary,18682.3539222,6.049091544374564,113,21051757.549662646
6. south hill elementary,1. dewitt middle school,18682.3539222,7.523575235752357,118,22155068.955807094
6. south hill elementary,3. cayuga heights elementary,18682.3539222,9.065460809646856,52,10297924.40280827
6. south hill elementary,4. belle sherman,18682.3539222,9.107981220657278,51,10121868.832696812
6. south hill elementary,5. caroline elementary,18682.3539222,12.969160104986877,130,25396783.643956523
6. south hill elementary,7. bjm elementary,18682.3539222,9.190307328605202,-65,788972.1419307321
6. south hill elementary,8. fall creek elementary,18682.3539222,5.873015873015873,-67,322198.82236699166
6. south hill elementary,9. boynton middle school,18682.3539222,5.798611111111112,-69,314086.7142507209
6. south hill elementary,10. maint garage,18682.3539222,4.610719874804382,-73,198581.63142235996
6. south hill elementary,11. bus garage,18682.3539222,5.79656862745098,-69,313865.4874822697
6. south hill elementary,12. enfield elementary,18682.3539222,15.556712962962964,159,31401219.374315903
6. south hill elementary,14. tompkins recycling,18682.3539222,7.106280193236715,-71,471722.1334613079
6. south hill elementary,13. lehman alternative,18682.3539222,7.920353982300885,-26,585990.7804264333
6. south hill elementary,tst boces tompkins,18682.3539222,7.5528606965174125,121,22709014.95167329
7. bjm elementary,2. northeast elementary,18567.6317,5.858167770419426,178,32741030.317673754
7. bjm elementary,1. dewitt middle school,18567.6317,7.419072615923009,183,33844175.176340595
7. bjm elementary,3. cayuga heights elementary,18567.6317,8.982300884955752,117,22060404.952548824
7. bjm elementary,4. belle sherman,18567.6317,9.581260364842453,116,21981481.572121605
7. bjm elementary,5. caroline elementary,18567.6317,14.95489078822412,195,37595264.94939604
7. bjm elementary,6. south hill elementary,18567.6317,5.431372549019608,65,12113521.13641721
7. bjm elementary,8. fall creek elementary,18567.6317,4.412280701754386,-2,180739.3786082372
7. bjm elementary,9. boynton middle school,18567.6317,6.796951819075713,-4,428898.8681585627
7. bjm elementary,10. maint garage,18567.6317,4.131944444444445,-8,158502.26207061394
7. bjm elementary,11. bus garage,18567.6317,5.094086021505377,-4,240912.3512309679
7. bjm elementary,12. enfield elementary,18567.6317,16.075396825396826,224,43200365.283747256
7. bjm elementary,14. tompkins recycling,18567.6317,6.233796296296297,-6,360771.09168352763
7. bjm elementary,13. lehman alternative,18567.6317,6.472556894243641,39,7492726.326008003
7. bjm elementary,tst boces tompkins,18567.6317,7.449092518813634,186,34394764.32374756
8. fall creek elementary,2. northeast elementary,18598.465033300003,4.650875190258752,180,33042317.906973958
8. fall creek elementary,1. dewitt middle school,18598.465033300003,6.0147392290249435,185,34089843.41870832
8. fall creek elementary,3. cayuga heights elementary,18598.465033300003,5.862998921251349,119,22031320.94723146
8. fall creek elementary,4. belle sherman,18598.465033300003,6.605191256830601,118,21934923.198376123
8. fall creek elementary,5. caroline elementary,18598.465033300003,12.614713689799014,197,37422631.75273359
8. fall creek elementary,6. south hill elementary,18598.465033300003,5.986439195100613,67,12557473.932188384
8. fall creek elementary,7. bjm elementary,18598.465033300003,4.412280701754386,2,545941.3976348712
8. fall creek elementary,9. boynton middle school,18598.465033300003,5.701566951566951,-2,302298.20179409307
8. fall creek elementary,10. maint garage,18598.465033300003,4.381481481481481,-6,178520.9000753634
8. fall creek elementary,11. bus garage,18598.465033300003,5.455840455840455,-2,276802.7691810277
8. fall creek elementary,12. enfield elementary,18598.465033300003,12.25980931426476,226,42631614.728861995
8. fall creek elementary,14. tompkins recycling,18598.465033300003,7.53703703703704,-4,528260.8254974476
8. fall creek elementary,13. lehman alternative,18598.465033300003,4.9794823232323235,41,7711065.36223517
8. fall creek elementary,tst boces tompkins,18598.465033300003,6.027318640955005,188,34638604.91103824
9. boynton middle school,2. northeast elementary,18809.4372556,4.591230026012635,182,33780991.22633043
9. boynton middle school,1. dewitt middle school,18809.4372556,5.904982363315696,187,34833279.77233248
9. boynton middle school,3. cayuga heights elementary,18809.4372556,4.385521885521885,121,22507869.209963813
9. boynton middle school,4. belle sherman,18809.4372556,7.02922077922078,120,22607156.165203754
9. boynton middle school,5. caroline elementary,18809.4372556,13.514739229024945,199,38437350.02320101
9. boynton middle school,6. south hill elementary,18809.4372556,8.094362745098039,69,13348104.999884022
9. boynton middle school,7. bjm elementary,18809.4372556,7.232804232804233,4,1230075.6621012548
9. boynton middle school,8. fall creek elementary,18809.4372556,6.154761904761904,2,725302.1903191059
9. boynton middle school,10. maint garage,18809.4372556,5.539351851851852,-4,288578.3263752073
9. boynton middle school,11. bus garage,18809.4372556,6.321138211382114,0,375782.35111352534
9. boynton middle school,12. enfield elementary,18809.4372556,13.27007700770077,228,43726815.518981524
9. boynton middle school,14. tompkins recycling,18809.4372556,9.250524109014675,-2,435741.26952919643
9. boynton middle school,13. lehman alternative,18809.4372556,6.757142857142857,43,8363794.773423436
9. boynton middle school,tst boces tompkins,18809.4372556,5.915885765283356,190,35388053.663099796
10. maint garage,2. northeast elementary,18325.1317,4.551051051051051,186,33626910.47330624
10. maint garage,1. dewitt middle school,18325.1317,5.571035431716546,191,34620355.90420376
10. maint garage,3. cayuga heights elementary,18325.1317,5.138121546961326,125,22713087.17048403
10. maint garage,4. belle sherman,18325.1317,6.81640625,124,22717147.113799676
10. maint garage,5. caroline elementary,18325.1317,12.64406779661017,203,37958058.87613669
10. maint garage,6. south hill elementary,18325.1317,4.950396825396825,73,13347718.33129787
10. maint garage,7. bjm elementary,18325.1317,4.131944444444445,8,1594588.500893462
10. maint garage,8. fall creek elementary,18325.1317,4.381481481481481,6,1254514.5100080997
10. maint garage,9. boynton middle school,18325.1317,5.301837270341207,4,976633.115134459
10. maint garage,11. bus garage,18325.1317,4.603513770180436,4,913254.3698064325
10. maint garage,12. enfield elementary,18325.1317,14.851364522417153,232,43727457.00841768
10. maint garage,14. tompkins recycling,18325.1317,7.624521072796934,2,892189.4710972451
10. maint garage,13. lehman alternative,18325.1317,5.4235423542354235,47,8718683.621794099
10. maint garage,tst boces tompkins,18325.1317,5.576388888888889,194,35160211.32694718
11. bus garage,2. northeast elementary,18325.1317,4.660264353572903,182,32917049.829929993
11. bus garage,1. dewitt middle school,18325.1317,6.194067370537959,187,33968439.66291896
11. bus garage,3. cayuga heights elementary,18325.1317,6.243055555555555,121,22109232.38798127
11. bus garage,4. belle sherman,18325.1317,7.085610200364299,120,22032359.644685846
11. bus garage,5. caroline elementary,18325.1317,14.334181509754028,199,37656759.8929596
11. bus garage,6. south hill elementary,18325.1317,8.601278269419861,69,13081963.231967399
11. bus garage,7. bjm elementary,18325.1317,5.094086021505377,4,956844.1165111352
11. bus garage,8. fall creek elementary,18325.1317,5.455840455840455,2,632273.8064746471
11. bus garage,9. boynton middle school,18325.1317,5.466666666666667,0,273818.19011288893
11. bus garage,10. maint garage,18325.1317,4.603513770180436,-4,194176.20189843248
11. bus garage,12. enfield elementary,18325.1317,12.982407407407408,228,42531741.0097232
11. bus garage,14. tompkins recycling,18325.1317,7.503103662321539,-2,156281.89602488856
11. bus garage,13. lehman alternative,18325.1317,6.106294155427104,43,8071733.3247628715
11. bus garage,tst boces tompkins,18325.1317,6.211773700305811,190,34509760.95559299
12. enfield elementary,2. northeast elementary,18596.2428111,9.141686650679455,-46,777048.0488636266
12. enfield elementary,1. dewitt middle school,18596.2428111,10.212289893036454,-41,969709.1229526444
12. enfield elementary,3. cayuga heights elementary,18596.2428111,11.79458068422646,-107,1293481.5064236175
12. enfield elementary,4. belle sherman,18596.2428111,15.074499787143465,-108,2112910.164818613
12. enfield elementary,5. caroline elementary,18596.2428111,15.869029075804777,-29,2341509.50033785
12. enfield elementary,6. south hill elementary,18596.2428111,14.544662309368192,-159,1966991.5643510534
12. enfield elementary,7. bjm elementary,18596.2428111,16.371443907675793,-224,2492121.324557436
12. enfield elementary,8. fall creek elementary,18596.2428111,12.583239805462027,-226,1472245.2404711514
12. enfield elementary,9. boynton middle school,18596.2428111,14.218505477308296,-228,1879763.0637427105
12. enfield elementary,10. maint garage,18596.2428111,15.354104104104103,-232,2192018.293561082
12. enfield elementary,11. bus garage,18596.2428111,13.038079470198674,-228,1580601.756203296
12. enfield elementary,14. tompkins recycling,18596.2428111,8.923444976076555,-230,740389.6047668128
12. enfield elementary,13. lehman alternative,18596.2428111,12.919146825396826,-185,1551896.9530798832
12. enfield elementary,tst boces tompkins,18596.2428111,10.243741765480896,-38,975691.3529371322
13. lehman alternative,2. northeast elementary,18406.24281111,5.264274691358024,139,25353610.946867563
13. lehman alternative,1. dewitt middle school,18406.24281111,6.2063492063492065,144,26355887.765725147
13. lehman alternative,3. cayuga heights elementary,18406.24281111,6.255144032921811,78,14444177.812127797
13. lehman alternative,4. belle sherman,18406.24281111,8.132603406326034,77,14512211.070727762
13. lehman alternative,5. caroline elementary,18406.24281111,13.064692982456142,156,29739023.59434937
13. lehman alternative,6. south hill elementary,18406.24281111,6.785411365564037,26,5118424.634634413
13. lehman alternative,7. bjm elementary,18406.24281111,6.991298527443106,-39,449832.5157754062
13. lehman alternative,8. fall creek elementary,18406.24281111,5.366088631984586,-41,265003.0268814002
13. lehman alternative,9. boynton middle school,18406.24281111,7.636300897170462,-43,536662.4596149635
13. lehman alternative,10. maint garage,18406.24281111,6.119614512471655,-47,344653.96803227894
13. lehman alternative,11. bus garage,18406.24281111,6.305090006207324,-43,365862.3607304703
13. lehman alternative,12. enfield elementary,18406.24281111,12.919146825396826,185,34940610.80512757
13. lehman alternative,14. tompkins recycling,18406.24281111,7.522401433691757,-45,520772.6441206509
13. lehman alternative,tst boces tompkins,18406.24281111,6.216550319953461,147,26898749.779389884
14. tompkins recycling,2. northeast elementary,18325.1317,6.544590643274854,184,33470043.69026243
14. tompkins recycling,1. dewitt middle school,18325.1317,7.8388554216867465,189,34539461.612707354
14. tompkins recycling,3. cayuga heights elementary,18325.1317,9.073589296102385,123,22866007.91772317
14. tompkins recycling,4. belle sherman,18325.1317,9.663504968383016,122,22787515.015796356
14. tompkins recycling,5. caroline elementary,18325.1317,11.663455362877329,201,37380118.495414466
14. tompkins recycling,6. south hill elementary,18325.1317,8.109072375127422,71,13366140.824937122
14. tompkins recycling,7. bjm elementary,18325.1317,6.193078324225866,6,1430040.3102659206
14. tompkins recycling,8. fall creek elementary,18325.1317,7.119791666666667,4,1183541.7642532326
14. tompkins recycling,9. boynton middle school,18325.1317,8.776773761713521,2,1065347.636094418
14. tompkins recycling,10. maint garage,18325.1317,7.95405982905983,-2,220149.59057247464
14. tompkins recycling,11. bus garage,18325.1317,6.828002244668911,2,786712.6982473037
14. tompkins recycling,12. enfield elementary,18325.1317,8.923444976076555,230,42076590.259289026
14. tompkins recycling,13. lehman alternative,18325.1317,7.404513888888888,45,8591983.79190197
14. tompkins recycling,tst boces tompkins,18325.1317,7.840909090909091,192,35079065.28287753
